Proximity,WordCount,TitleMatch,Reliance,FinalScore,Match
0,0.130434783,0.5,1,26.26086957,TRUE
0.010326752,0.014992504,0.5,1,21.07706599,TRUE
0.091396022,0.042003231,0.5,1,25.04786734,TRUE
0,0.06557377,1,1,42.85714286,TRUE
0.036189568,0.011235955,0.5,0.882352941,19.14960024,TRUE
0.059858403,0.010746659,1,1,43.01899662,TRUE
0,0.06402439,0.5,1,22.84424379,TRUE
0,0.04178333,0,1,2.446406053,TRUE
0.373785892,0.029996104,1,0.903614458,47.83389022,TRUE
0.059959037,0.01,0,1,2.677431263,TRUE
0.276550921,0.013020833,1,0.961538462,46.90877595,TRUE
0.204582791,0.008758372,1,1,48.62950585,TRUE
0.284064403,0.036089239,0.333333333,0.892857143,21.1934637,TRUE
0,0.069444444,0.666666667,1,30.57334057,TRUE
0,0.043376319,1,1,42.29338843,TRUE
0,0.047531993,0.333333333,1,15.6898288,TRUE
0.090124554,0.017777778,0,0.961538462,4.145062032,TRUE
0,0.002496879,0,1,0.144621874,TRUE
0.349795882,0.085106383,0.333333333,0.925925926,26.67282414,TRUE
0.583333333,0.085106383,0.666666667,1,45.64814815,TRUE
0.13652019,0.01646603,0.5,0.5859375,15.47095036,TRUE
0.075994678,0.02141221,1,1,44.28184375,TRUE
0,0.051573427,1,1,42.81175536,TRUE
0.171749244,0.039473684,0.5,0.872093023,23.22199461,TRUE
0,0.073170732,0.333333333,1,15.1607445,TRUE
0.105033143,0.03115942,1,0.426136364,19.14296648,TRUE
0.289220095,0.069333333,0.75,1,43.73547047,TRUE
0,0.213740458,1,1,46.82926829,TRUE
0,0.133333333,1,1,47.26693227,TRUE
0.321261404,0.069310743,1,1,53.62014302,TRUE
0,0.141361257,1,1,45.29411765,TRUE
0,0.103028065,1,1,45.92986185,TRUE
0,0.054545455,1,1,42.78709677,TRUE
0.152192096,0.030651341,0,1,6.87976304,TRUE
0.483094318,0.126315789,1,1,59.89282953,TRUE
0.322541666,0.054659498,1,0.949367089,53.9589019,TRUE
0,0.093198992,0.333333333,1,17.66927083,TRUE
0,0.059249209,0,1,3.379191745,TRUE
0.349583251,0.088954057,1,0.892857143,51.76299831,TRUE
0.452315152,0.004285714,0,0.974025974,13.43212348,TRUE
0.395613662,0.044117647,1,1,53.44735723,TRUE
0.315342707,0.071084337,1,1,52.79990384,TRUE
0,0.25,0,1,0.504201681,TRUE
0,0.12,1,1,41.28571429,TRUE
0.17240564,0.015133877,0.8,0.892857143,36.21345995,TRUE
0.133213936,0.006861277,1,1,46.39857687,TRUE
0.300450142,0.058823529,1,1,53.32948111,TRUE
0.516293659,0.080624465,0.5,1,40.09949057,TRUE
0.502924602,0.060649819,1,1,58.44773805,TRUE
0.330281562,0.035794183,1,1,57.56170001,TRUE
0.26989733,0.019490255,0,0.974025974,8.858145149,FALSE
0.006278961,0.014943457,0,1,1.008767945,FALSE
0,0.009836066,0,1,0.428571429,FALSE
0.00471948,0.009229535,0,1,0.648564574,FALSE
0.047182741,0.019343987,0,1,2.539871161,FALSE
0.087559854,0.035060976,0,0.852272727,3.566213941,FALSE
0,0.047167779,0.333333333,1,16.0949979,FALSE
0.040702795,0.012855473,0,0.882352941,1.728828415,FALSE
0.021419542,0.015625,0,0.974025974,1.196985869,FALSE
0.005165866,0.00309119,0.333333333,1,13.64578963,FALSE
0.071854721,0.019685039,0,0.862068966,2.742989134,FALSE
0,0.007523148,0,1,0.423223006,FALSE
0,0.015240328,0,1,0.805785124,FALSE
0,0.007312614,0,1,0.362537764,FALSE
0.075130158,0.023703704,0,1,3.946382772,FALSE
0,0.005930087,0,1,0.343476951,FALSE
0.131319967,0.063829787,0.333333333,0.974025974,17.90653582,FALSE
0.034742587,0.042553191,0.333333333,0.974025974,14.72371918,FALSE
0.139532121,0.02532171,0,1,5.636042883,FALSE
0.012217608,0.006274275,0,0.903614458,0.660072033,FALSE
0.122216835,0.041958042,0,0.72815534,4.33546225,FALSE
0.047263119,0.042105263,0.25,1,12.99166406,FALSE
0,0.024390244,0,1,0.609137056,FALSE
0,0.020408163,0,1,0.687022901,FALSE
0.073986665,0.041062802,0.5,0.555555556,13.64094226,FALSE
0.032827381,0.024,0,0.974025974,1.689761132,FALSE
0.059806615,0.019083969,0,0.986842105,2.372323565,FALSE
0,0.005263158,0,1,0.28685259,FALSE
0.017728114,0.015594917,0,0.735294118,1.049897885,FALSE
0,0.031413613,0,1,1.176470588,FALSE
0,0.007754801,0,1,0.446333688,FALSE
0,0.015151515,0,1,0.774193548,FALSE
0.188380674,0.040229885,0,0.986842105,6.602984386,FALSE
0,0.129824561,0.5,1,25.55,FALSE
0.137752376,0.028673835,0,0.882352941,4.721334158,FALSE
0,0.005037783,0,1,0.234375,FALSE
0.035935212,0.021483492,0,0.735294118,1.693629277,FALSE
0.063001864,0.024437928,0,0.9375,3.390530409,FALSE
0,0.02,0.25,1,11.03067485,FALSE
0.063422579,0.032352941,0,1,3.060572117,FALSE
0.104811441,0.025301205,0,0.961538462,4.166367772,FALSE
0.114529915,0.08,0,1,4.293040293,FALSE
0.035316546,0.016686069,0,1,2.295618715,FALSE
0.045392006,0.018740297,0,0.471698113,1.376883698,FALSE
0.113977273,0.036764706,0,0.986842105,4.183214125,FALSE
0.064439487,0.014328486,0,1,2.752589426,FALSE
0.046841963,0.016847172,0,1,2.807011842,FALSE
0.227474915,0.032065623,0.4,1,26.6292457,FALSE
0.375,0.15,0.333333333,0.986842105,24.97039474,TRUE
0.206452957,0.028866714,1,1,47.85740247,TRUE
1,0.009433962,1,1,70.27149321,TRUE
0,0.019104946,0.5,1,21.11280488,TRUE
0.371717844,0.022740357,0.5,1,32.43123294,TRUE
0.279366467,0.056962025,0.25,1,19.77274658,TRUE
0.510426849,0.024242424,0,0.986842105,20.61282454,TRUE
0,0.142857143,0.333333333,1,17.81466113,TRUE
0.135852395,0.028263795,0.5,1,25.54410331,TRUE
0.390514065,0.023972603,1,0.986842105,57.3667535,TRUE
0.358751203,0.042590028,1,0.79787234,42.390509,TRUE
0,0.006369427,0.333333333,1,13.64050057,TRUE
0,0.003521127,0,1,0.15037594,TRUE
0.22968439,0.058918483,0.75,1,41.95252713,TRUE
0.35302101,0.05982906,1,0.882352941,49.74609256,TRUE
0.348397152,0.072789116,1,0.79787234,43.26732857,TRUE
0,0.047267356,1,1,42.42424242,TRUE
0,0.041420118,1,1,41.47887324,TRUE
0,0.028490028,0.5,1,21.28755365,TRUE
0.106838315,0.015721121,0.4,0.72815534,14.62112198,TRUE
0,0.25,1,1,40.97560976,TRUE
0.323274594,0.019946809,1,1,50.61473477,TRUE
0.415580121,0.05,0.4,1,29.69817286,TRUE
0,0.076735688,0.5,1,24.03846154,TRUE
0,0.022272842,0.333333333,1,14.63190687,TRUE
0.168257678,0.045901639,1,1,47.36497173,TRUE
0.194114163,0.026376147,0.5,1,27.0756935,TRUE
0,0.125344353,1,1,46.49227111,TRUE
0.270025678,0.03164557,1,0.9375,50.88232478,TRUE
0,0.038461538,0.5,1,21.48606811,TRUE
0,0.07606264,0.5,1,23.62989324,TRUE
0.264423748,0.021186441,0.666666667,1,35.24315593,TRUE
0,0.066225166,0.5,1,22.2556391,TRUE
0,0.1,1,1,40.88888889,TRUE
0.658333333,0.083333333,0,1,26.94402036,TRUE
0,0.026737968,0.25,1,11.22699387,TRUE
0,0.119266055,0.2,1,11.48214286,TRUE
0.296586306,0.061728395,0.75,0.872093023,39.13691514,TRUE
0.138169059,0.050993022,0.333333333,1,21.44161745,TRUE
0.545634921,0.073529412,0.666666667,0.986842105,43.46292009,TRUE
0,0.00477327,0,1,0.224719101,TRUE
0.55,0.1,0.5,1,37.19230769,TRUE
0.295420199,0.007215007,0.5,0.986842105,31.74022539,TRUE
0,0.012958963,0,1,0.62283737,TRUE
0.119732664,0.044326241,0.090909091,0.824175824,8.304259786,TRUE
0.203822236,0.04494382,0,1,7.291137667,TRUE
0.666666667,0.1875,0.5,1,40.73170732,TRUE
0.698979592,0.041237113,1,1,62.10146323,TRUE
0.222231823,0.022012579,1,1,47.43337804,TRUE
0,0.028318584,0,1,1.411764706,TRUE
0.240092117,0.040492958,0.75,0.773195876,32.18364625,TRUE
0.625614092,0.102339181,1,0.986842105,61.61817575,TRUE
0.274673574,0.029792746,1,0.892857143,47.7503935,TRUE
0,0.002781641,0,1,0.143884892,TRUE
0.112190088,0.012922843,1,1,45.1730874,TRUE
0.268497727,0.038352273,0.666666667,1,40.14081696,TRUE
0.070516125,0.008429672,1,0.914634146,39.9041703,TRUE
0.189543824,0.045964531,0.75,1,40.03349039,TRUE
0.095545822,0.035750766,0.6,1,30.21912323,TRUE
0.025618795,0.017236342,0.142857143,1,7.678527958,TRUE
0,0.096774194,0.25,1,11.23287671,TRUE
0.109357782,0.017948718,0.4,0.914634146,19.31796765,TRUE
0.179282451,0.019206146,0.5,0.974025974,25.76475857,TRUE
0.193279849,0.024822695,0.333333333,0.9375,18.70503873,TRUE
0.076018139,0.082758621,1,0.675675676,30.97033766,TRUE
0.27823329,0.061238223,0.5,1,31.52881688,TRUE
0.597484639,0.0703125,0.666666667,0.986842105,45.49301223,TRUE
0.432278492,0.020661157,0.5,1,33.8086909,TRUE
0.267452076,0.00877193,0,0.949367089,10.50525673,TRUE
0.230113732,0.002555622,1,1,50.50333068,TRUE
0.401173566,0.070833333,1,0.9375,50.81758101,TRUE
0.03475915,0.009741237,0,1,1.622236054,TRUE
0.017736822,0.005780347,0.25,0.949367089,10.26836994,TRUE
0.10126811,0.013071895,1,0.842696629,36.84257991,TRUE
0.441375109,0.043814433,0.5,1,35.26908628,TRUE
0.528985515,0.085258526,1,1,60.41058106,TRUE
0,0.004995837,0.333333333,1,13.61938816,TRUE
0.172633409,0.056716418,1,0.925925926,45.86958416,TRUE
0.080198636,0.005752927,0.571428571,1,26.7959426,TRUE
0.54719246,0.113259669,0.666666667,0.914634146,43.20534684,TRUE
0.229514967,0.086065574,0.666666667,0.882352941,34.72677764,TRUE
0,0.073529412,0,1,3.866809882,TRUE
0.280000541,0.025641026,1,0.925925926,48.12581826,TRUE
0,0.073170732,0.25,1,11.82741117,TRUE
0,0.08045977,0.5,1,22.90657439,TRUE
0.220937234,0.011383538,1,0.892857143,42.13984835,TRUE
0.439154749,0.025700935,1,1,54.61963427,TRUE
0.484606615,0.010545906,0.666666667,1,41.75861104,TRUE
0.301861572,0.080882353,1,0.961538462,53.25677828,TRUE
0.457335952,0.085382514,1,0.765306122,44.5006143,TRUE
0,0.115384615,0.5,1,21.27659574,TRUE
